height,weight,born
206,99,1963
218,117,1965
203,97,1964
203,95,1965
211,99,1964
198,104,1964
203,96,1963
206,99,1965
190,77,1965
208,117,1958
180,72,1965
196,83,1963
193,97,1964
193,88,1964
213,111,1964
185,83,1959
203,90,1965
188,77,1965
201,86,1964
203,90,1964
196,90,1956
203,102,1964
211,104,1964
208,104,1964
203,99,1965
180,83,1966
201,86,1967
203,92,1964
198,86,1963
180,74,1965
206,111,1965
211,108,1966
208,104,1964
193,83,1967
201,88,1967
198,88,1963
198,88,1963
196,97,1966
196,99,1966
190,86,1965
203,111,1966
216,108,1964
201,94,1965
201,92,1964
190,88,1965
188,83,1966
213,106,1965
203,99,1965
198,97,1964
190,83,1965
203,88,1965
198,104,1967
196,90,1965
208,108,1964
190,86,1966
216,111,1966
178,79,1965
201,79,1966
206,95,1966
190,79,1965
201,88,1966
198,104,1966
211,111,1966
211,120,1966
180,74,1963
206,102,1966
203,102,1966
198,97,1965
208,104,1966
193,81,1965
201,92,1966
203,95,1966
190,86,1966
196,74,1964
208,102,1963
213,108,1965
206,90,1965
208,99,1964
188,77,1964
196,97,1965
208,117,1966
183,77,1965
196,81,1964
203,113,1961
211,104,1965
208,102,1966
211,106,1964
198,86,1966
185,79,1964
208,104,1965
224,113,1966
190,81,1965
188,79,1966
196,90,1940
211,97,1965
193,79,1965
201,106,1965
188,81,1963
193,83,1966
188,82,1945
206,102,1964
198,92,1968
201,102,1967
201,102,1967
180,73,1967
198,95,1964
201,95,1965
183,81,1967
201,97,1968
203,99,1965
198,95,1967
206,113,1964
198,97,1966
203,120,1966
198,86,1965
206,102,1967
185,77,1967
216,110,1968
183,81,1966
206,95,1966
193,90,1965
213,102,1955
203,92,1968
206,95,1967
203,90,1963
170,63,1966
190,81,1966
206,97,1967
183,79,1966
